Date,France: CAC 40,UK: FTSE 100,Germany: DAX,US: S&P 500,Canada: TSX Composite,Japan: Nikkei 225
2016-12-16,4833.27001953125,7011.60009765625,11404.009765625,2258.070068359375,15252.2001953125,19401.150390625
2016-12-19,4822.77001953125,7017.2001953125,11426.7001953125,2262.530029296875,15269.900390625,19391.599609375
2016-12-20,4849.89013671875,7044.0,11464.740234375,2270.760009765625,15293.0,19494.529296875
2016-12-21,4833.81982421875,7041.39990234375,11468.6396484375,2265.179931640625,15305.900390625,19444.490234375
2016-12-22,4834.6298828125,7063.7001953125,11456.099609375,2260.9599609375,15335.2001953125,19427.669921875
2016-12-28,4848.009765625,7106.10009765625,11474.990234375,2249.919921875,15361.099609375,19401.720703125
2016-12-29,4838.47021484375,7120.2998046875,11451.0498046875,2249.260009765625,15422.099609375,19145.140625
2016-12-30,4862.31005859375,7142.7998046875,11481.0595703125,2238.830078125,15287.599609375,19114.369140625
2017-01-04,4899.39990234375,7189.7001953125,11584.3095703125,2270.75,15516.7998046875,19594.16015625
2017-01-05,4900.64013671875,7195.2998046875,11584.9404296875,2269.0,15586.599609375,19520.689453125
2017-01-06,4909.83984375,7210.10009765625,11599.009765625,2276.97998046875,15496.099609375,19454.330078125
2017-01-10,4888.22998046875,7275.5,11583.2998046875,2268.89990234375,15426.2998046875,19301.439453125
2017-01-11,4888.7099609375,7290.5,11646.169921875,2275.320068359375,15491.5,19364.669921875
2017-01-12,4863.97021484375,7292.39990234375,11521.0400390625,2270.43994140625,15418.2001953125,19134.69921875
2017-01-13,4922.490234375,7337.7998046875,11629.1796875,2274.639892578125,15497.2998046875,19287.279296875
2017-01-17,4859.68994140625,7220.39990234375,11540.0,2267.889892578125,15441.400390625,18813.529296875
2017-01-18,4853.39990234375,7247.60009765625,11599.3896484375,2271.889892578125,15397.900390625,18894.369140625
2017-01-19,4841.14013671875,7208.39990234375,11596.8896484375,2263.68994140625,15409.7998046875,19072.25
2017-01-20,4850.669921875,7198.39990234375,11630.1298828125,2271.31005859375,15547.900390625,19137.91015625
2017-01-23,4821.41015625,7151.2001953125,11545.75,2265.199951171875,15480.099609375,18891.029296875
2017-01-24,4830.02978515625,7150.2998046875,11594.9404296875,2280.070068359375,15610.7001953125,18787.990234375
2017-01-25,4877.669921875,7164.39990234375,11806.0498046875,2298.3701171875,15643.7998046875,19057.5
2017-01-26,4867.240234375,7161.5,11848.6298828125,2296.679931640625,15615.5,19402.390625
2017-01-27,4839.97998046875,7184.5,11814.26953125,2294.68994140625,15575.7998046875,19467.400390625
2017-01-30,4784.64013671875,7118.5,11681.8896484375,2280.89990234375,15405.099609375,19368.849609375
2017-01-31,4748.89990234375,7099.2001953125,11535.3095703125,2278.8701171875,15386.0,19041.33984375
2017-02-01,4794.580078125,7107.7001953125,11659.5,2279.550048828125,15402.400390625,19148.080078125
2017-02-02,4794.2900390625,7140.7998046875,11627.9501953125,2280.85009765625,15399.099609375,18914.580078125
2017-02-03,4825.419921875,7188.2998046875,11651.490234375,2297.419921875,15476.400390625,18918.19921875
2017-02-06,4778.080078125,7172.2001953125,11509.83984375,2292.56005859375,15456.900390625,18976.7109375
2017-02-07,4754.47021484375,7186.2001953125,11549.4404296875,2293.080078125,15498.7998046875,18910.779296875
2017-02-08,4766.60009765625,7188.7998046875,11543.3798828125,2294.669921875,15554.0,19007.599609375
2017-02-09,4826.240234375,7229.5,11642.8603515625,2307.8701171875,15617.2998046875,18907.669921875
2017-02-10,4828.31982421875,7258.7998046875,11666.9697265625,2316.10009765625,15729.099609375,19378.9296875
2017-02-13,4888.18994140625,7278.89990234375,11774.4296875,2328.25,15756.599609375,19459.150390625
2017-02-14,4895.81982421875,7268.60009765625,11771.8095703125,2337.580078125,15786.0,19238.98046875
2017-02-15,4924.85986328125,7302.39990234375,11793.9296875,2349.25,15845.0,19437.98046875
2017-02-16,4899.4599609375,7277.89990234375,11757.240234375,2347.219970703125,15864.2001953125,19347.529296875
2017-02-17,4867.580078125,7300.0,11757.01953125,2351.159912109375,15838.599609375,19234.619140625
2017-02-21,4888.759765625,7274.7998046875,11967.490234375,2365.3798828125,15922.400390625,19381.439453125
2017-02-22,4895.8798828125,7302.2998046875,11998.58984375,2362.820068359375,15830.2001953125,19379.869140625
2017-02-23,4891.2900390625,7271.39990234375,11947.830078125,2363.81005859375,15781.2001953125,19371.4609375
2017-02-24,4845.240234375,7243.7001953125,11804.0302734375,2367.340087890625,15533.5,19283.5390625
2017-02-27,4845.18017578125,7253.0,11822.669921875,2369.75,15463.5,19107.470703125
2017-02-28,4858.580078125,7263.39990234375,11834.41015625,2363.639892578125,15399.2001953125,19118.990234375
2017-03-01,4960.830078125,7382.89990234375,12067.1904296875,2395.9599609375,15599.7001953125,19393.5390625
